"rt","stimulus","response","phase","trial_type","trial_index","time_elapsed","internal_node_id","subject","success","url","question_order","view_history","objOne","objTwo","key","resp_opt_1","resp_opt_2","resp_opt_3","resp_opt_4","resp_opt_5","resp_opt_6"
"762","Welcome to the experiment. Press any key to begin."," ","welcome_screen","html-keyboard-response","0","766","0.0-0.0","001","","","","","","","","","","","","",""
"","","","fullscreen_up","fullscreen","1","2946","0.0-1.0","001","true","","","","","","","","","","","",""
"1791","","","consent","external-html","2","4745","0.0-2.0","001","","consents/SONA_Neut.html","","","","","","","","","","",""
"875","","{""Q0"":"""",""Q1"":"""",""Q2"":""""}","demographics","survey-text","3","5626","0.0-3.0","001","","","","","","","","","","","","",""
"18823","","{""Rosa Parks"":5,""Audrey Hepburn"":5,""Timothee Chalamet"":5,""Oprah"":5,""Serena Williams"":5,""Hillary Clinton"":5,""Robin Williams"":5,""Brad Pitt"":5,""Ryan Reynolds"":5,""Sandra Bullock"":5,""Mindy Kaling"":5,""Ellen Degeneres"":5,""Robert Pattinson"":5,""Julia Roberts"":5,""Shakira"":5,""Michael Phelps"":5,""Anne Hathaway"":5,""Michael Jackson"":5,""Dwayne Johnson"":5,""Julianne Moore"":5,""Lady Diana"":5,""Tom Hanks"":5,""Mahatma Gandhi"":5,""Lady Gaga"":5}","people_ratings","survey-likert","4","24454","0.0-4.0","001","","","[16,17,22,1,14,0,12,3,18,23,19,20,11,5,8,13,21,4,10,7,6,9,15,2]","","","","","","","","","",""
"21735","","{""A Bridge"":5,""An Ice Rink"":5,""A Lecture Hall"":5,""A Cabin"":5,""A Bathroom"":5,""A Bar"":5,""A Valley"":5,""A Wind Farm"":5,""A Theater"":5,""A Ferris Wheel"":5,""A Dune"":5,""A Restaurant"":5,""A Library"":5,""A Green House"":5,""A Studio"":5,""A Savannah"":5,""A Newsroom"":5,""A Jetty"":5,""A Warehouse"":5,""A Cruise Ship"":5,""A Courtroom"":5,""An Indoor Pool"":5,""A Sauna"":5,""A Stone House"":5}","place_ratings","survey-likert","5","46197","0.0-5.0","001","","","[3,5,6,19,12,14,1,15,18,20,0,4,2,17,21,23,11,22,8,13,9,7,10,16]","","","","","","","","","",""
"4350","","","enc_instr","instructions","6","50554","0.0-6.0","001","","","","[{""page_index"":0,""viewing_time"":878},{""page_index"":1,""viewing_time"":704},{""page_index"":2,""viewing_time"":415},{""page_index"":3,""viewing_time"":465},{""page_index"":4,""viewing_time"":441},{""page_index"":5,""viewing_time"":1447}]","","","","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Timothee Chalamet</div><div class=""lowerleft"">toothbrush</div><div class=""lowerright"">parachute</div></div>","null","enc","html-keyboard-response","7","52558","0.0-7.0-0.0","001","","","","","toothbrush","parachute","Timothee Chalamet","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Hillary Clinton</div><div class=""lowerleft"">sewing machine</div><div class=""lowerright"">soccer ball</div></div>","null","enc","html-keyboard-response","8","53561","0.0-7.0-0.1","001","","","","","sewing machine","soccer ball","Hillary Clinton","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Mindy Kaling</div><div class=""lowerleft"">toaster</div><div class=""lowerright"">tampon</div></div>","null","enc","html-keyboard-response","9","54564","0.0-7.0-0.2","001","","","","","toaster","tampon","Mindy Kaling","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Ryan Reynolds</div><div class=""lowerleft"">umbrella</div><div class=""lowerright"">calculator</div></div>","null","enc","html-keyboard-response","10","55567","0.0-7.0-0.3","001","","","","","umbrella","calculator","Ryan Reynolds","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">A Restaurant</div><div class=""lowerleft"">wheelchair</div><div class=""lowerright"">bullet</div></div>","null","enc","html-keyboard-response","11","56570","0.0-7.0-0.4","001","","","","","wheelchair","bullet","A Restaurant","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Audrey Hepburn</div><div class=""lowerleft"">funnel</div><div class=""lowerright"">measuring cup</div></div>","null","enc","html-keyboard-response","12","57572","0.0-7.0-0.5","001","","","","","funnel","measuring cup","Audrey Hepburn","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">A Theater</div><div class=""lowerleft"">cannon</div><div class=""lowerright"">mouse trap</div></div>","null","enc","html-keyboard-response","13","58575","0.0-7.0-0.6","001","","","","","cannon","mouse trap","A Theater","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">A Lecture Hall</div><div class=""lowerleft"">blender</div><div class=""lowerright"">hammer</div></div>","null","enc","html-keyboard-response","14","59578","0.0-7.0-0.7","001","","","","","blender","hammer","A Lecture Hall","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">A Dune</div><div class=""lowerleft"">arrow</div><div class=""lowerright"">kite</div></div>","null","enc","html-keyboard-response","15","60580","0.0-7.0-0.8","001","","","","","arrow","kite","A Dune","","","","","",""
"null","<div style=""width: 85vmin; height: 50vmin; font-size: 4vmin; position: relative;""><div class=""centertop"">Sandra Bullock</div><div class=""lowerleft"">dart board</div><div class=""lowerright"">lawn mower</div></div>","null","enc","html-keyboard-response","16","61582","0.0-7.0-0.9","001","","","","","dart board","lawn mower","Sandra Bullock","","","","","",""
