people,place,index,first,second
Hillary Clinton,Dunes,0,guitar case,telescope
Oprah,Valley,1,snowboard,bridge
Lady Gaga,Library,2,pencil,screwdriver
Brad Pitt,Bridge,3,horseshoe,mail box
Michael Jackson,Restaurant,4,frisbee,kite
Julia Roberts,Ice Rink,5,accordion,cd
Lady Diana,Lecture Hall,6,microscope,trophy
Julianne Moore,Indoor Pool,7,binoculars,wheelchair
Shakira,Warehouse,8,ashtray,sand castle
Tom Hanks,Courtroom,9,fly swatter,surf board
Dwayne Johnson,Sauna,10,umbrella,zipper
Robert Pattinson,Newsroom,11,cannon,battery
Robin Williams,Bathroom,12,cash register,thermometer
Michael Phelps,Cruise Ship,13,lighter,plate
Serena Williams,Bar,14,spoon,mouse trap
Mahatma Gandhi,Wind Farm,15,apron,arrow
Rosa Parks,Stone House,16,disco ball,school bus
Audrey Hepburn,Green House,17,earrings,light switch
Ryan Reynolds,Theater,18,dream catcher,sandal
Mindy Kaling,Cabin,19,tricycle,eraser
Ellen Degeneres,Ferris Wheel,20,parachute,hockey stick
Anne Hathaway,Studio,21,windmill,chain
Timothee Chalamet,Jetty,22,chalk,harmonica
Sandra Bullock,Savannah,23,cigar,tile
Prince William,Salon,24,lamp,stapler
Jennifer Lawrence,Hospital,25,broom,snowman
,,26,mattress,bullet
,,27,shirt,funnel
