index,first,second
0,golf ball,disco ball
1,sewing machine,soccer ball
2,key,wrench
3,harmonica,windmill
4,drum sticks,banjo
5,swing,microscope
6,funnel,measuring cup
7,wheelchair,bullet
8,cannon,mouse trap
9,toothbrush,parachute
10,frisbee,mattress
11,toaster,tampon
12,dart board,lawn mower
13,compass,dog house
14,umbrella,calculator
15,chalk,condom
16,blender,hammer
17,tennis ball,handcuffs
18,locker,ruler
19,arrow,kite
20,sand castle,bow
21,horseshoe,basketball
22,guitar case,battery
23,snowboard,skateboard
