people,place,index,first,second
Hillary Clinton,"The Golden Gate Bridge, San Francisco",0,guitar case,telescope
Oprah,"Napa Valley, California",1,snowboard,bridge
Lady Gaga,Niagara Falls,2,pencil,screwdriver
Brad Pitt,"Burj Khalifa, Dubai",3,horseshoe,mail box
Michael Jackson,"The Tower of Pisa, Italy",4,frisbee,kite
Julia Roberts,"The Lincoln Memorial, Washington D.C.",5,accordion,cd
Lady Diana,"Neuschwanstein Castle, Germany",6,microscope,trophy
Julianne Moore,The London Eye,7,binoculars,wheelchair
Shakira,"The University of Oxford, England",8,ashtray,sand castle
Tom Hanks,"Epcot Center, Orlando",9,fly swatter,surf board
Dwayne Johnson,"United Nations Headquarters, New York",10,umbrella,zipper
Robert Pattinson,The Pyramids of Giza,11,cannon,battery
Robin Williams,"The Brandenburg Gate, Berlin",12,cash register,thermometer
Michael Phelps,"The Empire State Building, New York",13,lighter,plate
Serena Williams,"The Bird's Nest, Beijing",14,spoon,mouse trap
Mahatma Gandhi,"The Serengeti, Africa",15,apron,arrow
Rosa Parks,"The Western Wall, Jerusalem",16,disco ball,school bus
Audrey Hepburn,The Great Sphinx of Giza,17,earrings,light switch
Ryan Reynolds,"The Hoover Dam, Nevada",18,dream catcher,sandal
Mindy Kaling,"Capitol Hill, Washington D.C.",19,tricycle,eraser
Ellen Degeneres,"The Grand Canal, Venice",20,parachute,hockey stick
Anne Hathaway,"The White House, Washington D.C.",21,windmill,chain
Timothee Chalamet,"Machu Picchu, Peru",22,chalk,harmonica
Sandra Bullock,"Vatican City, Italy",23,cigar,tile
Prince William,"Uluru, Australia",24,lamp,stapler
Jennifer Lawrence,"La Sagrada Familia, Barcelona",25,broom,snowman
,,26,mattress,bullet
,,27,shirt,funnel
