first,last
Adam,Sandler
Adele,NA
Albert,Einstein
Amy,Poehler
Amy,Schumer
Angelina,Jolie
Anne,Hathaway
Ariana,Grande
Audrey,Hepburn
Barack,Obama
Beyonce,NA
Bill,Clinton
Bill,Gates
Brad,Pitt
Bradley,Cooper
Bruce,Willis
Bruno,Mars
Charli,Damelio
Chris,Hemsworth
Chris,Pratt
Condoleezza,Rice
The Dalai,Lama
Daniel,Radcliffe
Denzel,Washington
Dwayne,Johnson
Ellen,Degeneres
Emily,Blunt
Emma,Watson
George,Clooney
Halle,Berry
Hillary,Clinton
Hugh,Jackman
Idris,Elba
Jamie,Foxx
Jennifer,Aniston
Jennifer,Lawrence
Jennifer,Lopez
Jimmy,Fallon
John,Krasinski
John,Travolta
John F.,Kennedy
Julia,Roberts
Julianne,Moore
Julie,Andrews
Justin,Bieber
Keira,Knightley
Kevin,Hart
Kim,Kardashian
Kristen,Wiig
Lady,Diana
Lady,Gaga
Leonardo,Dicaprio
Liam,Hemsworth
Liam,Neeson
Lindsay,Lohan
Madonna,NA
Mahatma,Gandhi
Margot,Robbie
Marilyn,Monroe
Mark,Zuckerberg
Martin,Luther King
Matt,Damon
Matthew,McConaughey
Meghan,Markle
Melissa,McCarthy
Meryl,Streep
Michael,Jackson
Michael,Jordan
Michael,Phelps
Michelle,Obama
Miley,Cyrus
Mindy,Kaling
Morgan,Freeman
Mother,Teresa
Nelson,Mandela
Nicholas,Cage
Nicole,Kidman
Octavia,Spencer
Oprah,NA
Orlando,Bloom
Paul,McCartney
Penelope,Cruz
Prince,William
Queen,Elizabeth
Rachel,McAdams
Reese,Witherspoon
Rihanna,NA
Robert,Deniro
Robert,Downey Jr.
Robert,Pattinson
Robin,Williams
Rosa,Parks
Ryan,Reynolds
Samuel,L. Jackson
Sandra,Bullock
Sandra,Oh
Scarlett,Johansson
Sean,Connery
Selena,Gomez
Serena,Williams
Shakira,NA
Stephen,Curry
Stephen,Hawking
Steve,Carell
Steve,Jobs
Taylor,Swift
Timothee,Chalamet
Tom,Cruise
Tom,Hanks
Whoopi,Goldberg
Will,Smith
Zendaya,NA
