Unique Places
The Acropolis of Athens
"The Amazon River, Brazil"
"Alcatraz, San Francisco"
"Arc de Triomphe, Paris"
"The Bank of England, London"
"Big Ben, London"
"The Bird's Nest, Beijing"
The Blue Domes of Santorini
"The Brandenburg Gate, Berlin"
"The British Museum, London"
"The Brooklyn Bridge, New York"
"Buckingham Palace, London"
"Burj Al Arab, Dubai"
"Burj Khalifa, Dubai"
"Capitol Hill, Washington D.C."
"Carnegie Hall, New York"
"Central Park, New York"
"Chichen Itza, Mexico"
"Cristo Redentor, Rio de Janeiro"
"The CN Tower, Toronto"
"The Colosseum, Rome"
"Easter Island, Chile"
"Edinburgh Castle, Scotland"
"The Eiffel Tower, Paris"
"Epcot Center, Orlando"
"The Empire State Building, New York"
"Fenway Park, Boston"
"The Forbidden City, Beijing"
"The Gateway Arch, St. Louis"
"The Gherkin, London"
"The Golden Gate Bridge, San Francisco"
"The Grand Canal, Venice"
"The Grand Canyon, Arizona"
"La Grande Arche, Paris"
"The Great Buddha, Japan"
The Great Sphinx of Giza
The Great Wall of China
"Hagia Sophia, Istanbul"
"The Hollywood Sign, Los Angeles"
"The Kremlin, Moscow"
"La Sagrada Familia, Barcelona"
"The Lincoln Memorial, Washington D.C."
The London Eye
"The Louvre, Paris"
"Machu Picchu, Peru"
"Mecca, Saudi Arabia"
"Mount Everest, Nepal"
"Mount Fuji, Japan"
"Mount Rushmore, South Dakota"
"Neuschwanstein Castle, Germany"
Niagara Falls
"One World Trade Center, New York"
"The Palm Islands, Dubai"
"The Pentagon, Washington D.C."
"Pompeii, Italy"
"The Pont du Gard, France"
The Pyramids of Giza
"The Sistine Chapel, Vatican City"
"The Space Needle, Seattle"
"The Spanish Steps, Rome"
"The Statue of Liberty, New York"
"Stonehenge, United Kingdom"
"Table Mountain, South Africa"
"The Taj Mahal, India"
"Times Square, New York"
"Tower Bridge, London"
"The Tower of Pisa, Italy"
"Uluru, Australia"
"United Nations Headquarters, New York"
"Vatican City, Italy"
"The Palace of Versailles, France"
"The Western Wall, Jerusalem"
"Westminster Abbey, London"
"The White House, Washington D.C."
"Windsor Castle, United Kingdom"
"Old Faithful, Yellowstone National Park"
"The Hoover Dam, Nevada"
The Las Vegas Strip
"Napa Valley, California"
"Notre-Dame, Paris"
"The University of Oxford, England"
"The Sahara Desert, Africa"
"The Serengeti, Africa"
"The Washington Monument, Washington D.C."
